id,stock_code,stock_name,close,change_rate,change_amount,volume,amount,amplitude,high,low,open,pre_close,volume_ratio,turnover,pe_dynamic,pb
5257,603718,*ST海利,3.34,-2.34%,-0.08,14.43万,4849.16万,3.22%,3.42,3.31,3.42,3.42,0.98,2.22%,85.91,2.46
5258,920092,汉鑫科技,33.80,-2.34%,-0.81,3.84万,1.34亿,6.65%,36.00,33.70,36.00,34.61,1.02,11.65%,-199.41,5.98
5259,920252,天宏锂电,22.44,-2.35%,-0.54,1.82万,4122.68万,3.87%,23.26,22.37,23.05,22.98,1.02,2.67%,248.10,8.68
5260,600809,山西汾酒,128.25,-2.37%,-3.12,7.30万,9.42亿,2.41%,131.37,128.20,131.10,131.37,1.00,0.60%,7.27,3.48
5261,601101,昊华能源,10.25,-2.38%,-0.25,27.69万,2.85亿,5.71%,10.68,10.08,10.50,10.50,0.73,1.92%,11.54,1.20
5262,001338,永顺泰,11.40,-2.40%,-0.28,7.73万,8834.35万,3.85%,11.75,11.30,11.75,11.68,0.79,1.54%,43.06,1.53
5263,300059,东方财富,19.50,-2.40%,-0.48,429.59万,84.05亿,3.65%,20.09,19.36,19.96,19.98,1.22,3.22%,20.61,3.28
5264,920008,成电光信,25.15,-2.41%,-0.62,1.10万,2769.39万,4.38%,25.78,24.65,25.71,25.77,1.28,3.24%,-9687.42,4.92
5265,601086,国芳集团,8.11,-2.41%,-0.20,10.23万,8350.27万,3.85%,8.39,8.07,8.31,8.31,0.76,1.54%,32.47,3.31
5266,688147,微导纳米,86.94,-2.41%,-2.15,15.40万,13.32亿,8.86%,91.90,84.01,90.78,89.09,0.97,3.34%,476.90,13.66
5267,002921,联诚精密,27.88,-2.42%,-0.69,5.77万,1.63亿,4.20%,28.81,27.61,28.56,28.57,0.90,4.49%,-1094.00,3.17
5268,001236,弘业期货,8.88,-2.42%,-0.22,14.90万,1.33亿,4.95%,9.24,8.79,9.17,9.10,1.37,1.97%,178.85,4.78
5269,920278,鹿得医疗,7.23,-2.43%,-0.18,1.34万,980.01万,4.05%,7.51,7.21,7.45,7.41,1.26,1.81%,463.51,3.28
5270,002512,ST达华,4.80,-2.44%,-0.12,54.75万,2.61亿,5.08%,4.92,4.67,4.88,4.92,0.92,5.00%,36.31,16.27
5271,600730,*ST高科,12.35,-2.45%,-0.31,35.59万,4.44亿,7.42%,13.04,12.10,12.30,12.66,0.80,6.07%,-939.98,4.32
5272,603906,龙蟠科技,28.58,-2.46%,-0.72,57.03万,16.23亿,4.30%,29.10,27.84,28.47,29.30,1.20,10.13%,25.88,4.53
5273,920427,华维设计,11.90,-2.46%,-0.30,1.88万,2235.09万,5.25%,12.30,11.66,12.30,12.20,0.82,3.69%,160.48,3.90
5274,600862,中航高科,18.97,-2.47%,-0.48,24.77万,4.73亿,3.03%,19.52,18.93,19.45,19.45,1.72,1.78%,26.33,3.33
5275,920208,青矩技术,20.90,-2.47%,-0.53,1.21万,2541.37万,3.41%,21.43,20.70,21.43,21.43,1.42,1.19%,39.62,2.55
5276,920116,DR星图测,68.10,-2.48%,-1.73,3.51万,2.40亿,4.85%,70.59,67.20,70.18,69.83,1.54,1.64%,269.71,26.23
5277,002348,高乐股份,12.98,-2.48%,-0.33,46.56万,5.99亿,8.41%,13.55,12.43,13.34,13.31,1.09,5.15%,-219.41,30.90
5278,688066,*ST航图,13.36,-2.48%,-0.34,6.44万,8636.41万,5.77%,13.99,13.20,13.70,13.70,0.66,2.47%,-8.06,-2.83
5279,920802,保丽洁,13.75,-2.48%,-0.35,8431,1159.20万,2.98%,14.02,13.60,14.01,14.10,0.55,2.33%,59.84,2.53
5280,688585,上纬新材,182.98,-2.48%,-4.66,9.08万,16.42亿,9.59%,188.00,170.00,187.26,187.64,0.93,2.25%,-449.29,56.75
5281,603939,益丰药房,20.77,-2.49%,-0.53,12.47万,2.63亿,3.38%,21.48,20.76,21.31,21.30,0.69,1.03%,12.60,2.11
5282,000729,燕京啤酒,12.12,-2.49%,-0.31,34.20万,4.19亿,2.82%,12.47,12.12,12.42,12.43,0.95,1.36%,32.26,2.17
5283,600055,万东医疗,13.65,-2.50%,-0.35,9.03万,1.25亿,3.79%,14.14,13.61,14.00,14.00,0.97,1.28%,-150.57,2.16
5284,301053,远信工业,52.11,-2.51%,-1.34,3.99万,2.10亿,6.60%,54.01,50.48,53.88,53.45,0.78,4.56%,72.71,5.15
5285,600556,天下秀,5.44,-2.51%,-0.14,49.32万,2.70亿,4.48%,5.65,5.40,5.63,5.58,0.92,2.73%,762.60,2.57
5286,688428,诺诚健华,25.20,-2.51%,-0.65,10.54万,2.65亿,5.07%,26.11,24.80,26.06,25.85,0.98,3.93%,105.06,6.05
5287,300894,火星人,10.03,-2.53%,-0.26,6.55万,6600.77万,4.18%,10.39,9.96,10.29,10.29,1.25,2.23%,-19.14,4.20
5288,002791,坚朗五金,15.77,-2.53%,-0.41,8.53万,1.36亿,3.58%,16.33,15.75,16.29,16.18,1.47,3.92%,-28.95,1.04
